"record_id","sell","price_usd","kilometers","miles","year","maker","model"
21,0,7600.,89257,55462.,2003.,"Toyota","Corolla"
63,0,10300.,15772,9800.,2005.,"Toyota","Corolla"
65,0,9095.,15772,9800.,2005.,"Toyota","Corolla"
245,0,10000.,61155,38000.,2004.,"Toyota","Corolla"
627,0,3170.,183465,114000.,1980.,"Toyota","Corolla"
736,1,13100.,25999,16155.,2006.,"Toyota","Corolla"
845,1,325.,321869,200000.,1991.,"Toyota","Corolla"
1333,1,4900.,143232,89000.,2002.,"Toyota","Corolla"
1377,0,4650.,35406,22000.,1971.,"Toyota","Corolla"
1639,0,820.,257495,160000.,1986.,"Toyota","Corolla"
2101,1,8650.,83686,52000.,2004.,"Toyota","Corolla"
2119,0,690.,225308,140000.,1988.,"Toyota","Corolla"
2134,0,1425.,90123,56000.,1985.,"Toyota","Corolla"
2135,0,945.,90123,56000.,1985.,"Toyota","Corolla"
2341,1,10558.,19634,12200.,2005.,"Toyota","Corolla"
2344,0,8300.,19634,12200.,2005.,"Toyota","Corolla"
2367,1,9751.,85295,53000.,2003.,"Toyota","Corolla"
2493,1,199.99,400134,248632.,1984.,"Toyota","Corolla"
2502,1,7499.,84581,52556.,2003.,"Toyota","Corolla"
2848,0,3905.,144242,89628.,1997.,"Toyota","Corolla"
3161,1,2660.,75255,46761.,1989.,"Toyota","Corolla"
3356,0,9633.,40234,25000.,2005.,"Toyota","Corolla"
3357,0,11600.,30578,19000.,2005.,"Toyota","Corolla"
3358,0,10098.,40234,25000.,2005.,"Toyota","Corolla"
3736,1,3500.,204387,127000.,1999.,"Toyota","Corolla"
4199,1,2550.,48280,30000.,1986.,"Toyota","Corolla"
4822,1,1801.,246230,153000.,1995.,"Toyota","Corolla"
4852,0,7000.,97365,60500.,2003.,"Toyota","Corolla"
4853,0,8400.,97365,60500.,2003.,"Toyota","Corolla"
4887,1,410.,212433,132000.,1992.,"Toyota","Corolla"
4980,0,8009.,60375,37515.,2004.,"Toyota","Corolla"
5019,0,2505.,22943,14256.,2004.,"Toyota","Corolla"
5085,0,10099.,3436,2135.,2006.,"Toyota","Corolla"
5088,1,11000.,6516,4049.,2005.,"Toyota","Corolla"
6151,1,3113.88,106807,66367.,1992.,"Toyota","Corolla"
6228,0,6600.,79893,49643.,2001.,"Toyota","Corolla"
6247,0,5700.,79893,49643.,2001.,"Toyota","Corolla"
6257,1,6303.,79893,49643.,2001.,"Toyota","Corolla"
6322,0,9877.,52078,32360.,2004.,"Toyota","Corolla"
6324,0,11600.,35801,22246.,2005.,"Toyota","Corolla"
6329,0,10000.,35801,22246.,2005.,"Toyota","Corolla"
6731,0,10100.,59856,37193.,2003.,"Toyota","Corolla"
6947,0,6700.,126961,78890.,2003.,"Toyota","Corolla"
7019,0,14600.,9656,6000.,2006.,"Toyota","Corolla"
7149,1,13014.,44257,27500.,2005.,"Toyota","Corolla"
7150,1,13100.,44257,27500.,2005.,"Toyota","Corolla"
7154,0,2025.,149347,92800.,1979.,"Toyota","Corolla"
7160,0,9225.,81792,50823.,2004.,"Toyota","Corolla"
7209,1,610.,208410,129500.,1987.,"Toyota","Corolla"
7210,1,708.,209215,130000.,1987.,"Toyota","Corolla"
7339,0,3650.,230136,143000.,1985.,"Toyota","Corolla"
7467,1,12750.,17461,10850.,2006.,"Toyota","Corolla"
7658,0,11600.,39693,24664.,2006.,"Toyota","Corolla"
7975,1,4200.,135990,84500.,1997.,"Toyota","Corolla"
8030,1,1259.56,119901,74503.,1987.,"Toyota","Corolla"
8073,1,4800.,175840,109262.,1998.,"Toyota","Corolla"
8076,1,1935.,211545,131448.,1995.,"Toyota","Corolla"
8113,0,2525.,210113,130558.,1977.,"Toyota","Corolla"
8310,1,9600.,28004,17401.,2005.,"Toyota","Corolla"
8352,0,1125.,212433,132000.,1982.,"Toyota","Corolla"
8353,0,1575.,212433,132000.,1982.,"Toyota","Corolla"
8374,0,8300.,36862,22905.,2005.,"Toyota","Corolla"
8540,1,7050.,41684,25901.,2000.,"Toyota","Corolla"
8612,1,2175.,158940,98761.,1993.,"Toyota","Corolla"
8615,1,4100.,162302,100850.,1999.,"Toyota","Corolla"
8743,0,13000.,28736,17856.,2006.,"Toyota","Corolla"
8828,1,2718.87,155971,96916.,1996.,"Toyota","Corolla"
8834,1,4350.,159121,98873.,2000.,"Toyota","Corolla"
8993,1,3951.,114154,70932.,1998.,"Toyota","Corolla"
9040,0,10100.,22529,13999.,2005.,"Toyota","Corolla"
9042,1,9955.,4826,2999.,2006.,"Toyota","Corolla"
9043,0,9500.,4826,2999.,2006.,"Toyota","Corolla"
9044,0,8400.,33795,20999.,2005.,"Toyota","Corolla"
9045,1,8200.,64372,39999.,2003.,"Toyota","Corolla"
9046,0,7900.,37013,22999.,2005.,"Toyota","Corolla"
9052,1,9500.,9654,5999.,2005.,"Toyota","Corolla"
9054,1,10600.,8045,4999.,2005.,"Toyota","Corolla"
9055,1,10027.,33795,20999.,2005.,"Toyota","Corolla"
9056,0,8700.,37013,22999.,2005.,"Toyota","Corolla"
9058,1,8601.,4826,2999.,2006.,"Toyota","Corolla"
9059,1,9799.,1608,999.,2006.,"Toyota","Corolla"
9060,0,9051.,45060,27999.,2004.,"Toyota","Corolla"
9061,1,10000.,12873,7999.,2005.,"Toyota","Corolla"
9063,0,6766.,66786,41499.,2003.,"Toyota","Corolla"
9101,0,9109.,7242,4500.,2005.,"Toyota","Corolla"
9123,0,8100.,57243,35569.,2004.,"Toyota","Corolla"
9255,1,1100.,289682,180000.,1989.,"Toyota","Corolla"
9324,0,6151.,39348,24450.,2004.,"Toyota","Corolla"
9523,0,3150.,11399,7083.,2006.,"Toyota","Corolla"
9572,0,4050.,133656,83050.,2002.,"Toyota","Corolla"
9574,0,7900.,4260,2647.,2006.,"Toyota","Corolla"
9607,0,7176.,104849,65150.,2003.,"Toyota","Corolla"
9611,0,3350.,180589,112213.,2001.,"Toyota","Corolla"
9898,0,11200.,50289,31248.,2004.,"Toyota","Corolla"
9899,0,8600.,50289,31248.,2004.,"Toyota","Corolla"
9970,0,10700.,25326,15737.,2005.,"Toyota","Corolla"
10011,0,9600.,66931,41589.,2003.,"Toyota","Corolla"
10258,1,4150.,136635,84901.,1996.,"Toyota","Corolla"
10259,0,1775.,354477,220262.,1998.,"Toyota","Corolla"
10260,0,1835.,354477,220262.,1998.,"Toyota","Corolla"
10327,1,2409.,149313,92779.,1994.,"Toyota","Corolla"
10597,1,2900.,267071,165950.,1999.,"Toyota","Corolla"
10682,0,2325.,205996,128000.,1999.,"Toyota","Corolla"
10686,0,1225.,114300,71023.,1980.,"Toyota","Corolla"
10989,1,4701.,138812,86254.,2001.,"Toyota","Corolla"
11174,0,7100.,124595,77420.,2003.,"Toyota","Corolla"
11227,1,596.,281877,175150.,1990.,"Toyota","Corolla"
11260,1,2025.,303651,188680.,1997.,"Toyota","Corolla"
11615,1,1085.,321869,200000.,1994.,"Toyota","Corolla"
11668,0,1325.,305415,189776.,1983.,"Toyota","Corolla"
11725,0,12600.,37820,23500.,2005.,"Toyota","Corolla"
11731,0,12651.,16415,10200.,2005.,"Toyota","Corolla"
11739,1,2850.,244620,152000.,1998.,"Toyota","Corolla"
11777,1,1126.,285557,177437.,1992.,"Toyota","Corolla"
11797,0,8100.99,92354,57386.,2003.,"Toyota","Corolla"
11808,0,7776.,92354,57386.,2003.,"Toyota","Corolla"
11978,0,1000.,261720,162625.,1995.,"Toyota","Corolla"
11987,0,8500.,20746,12891.,2006.,"Toyota","Corolla"
11988,1,8600.,20746,12891.,2006.,"Toyota","Corolla"
11989,1,9260.,40528,25183.,2005.,"Toyota","Corolla"
11990,0,7600.,40528,25183.,2005.,"Toyota","Corolla"
11991,0,9179.,26052,16188.,2005.,"Toyota","Corolla"
11992,1,9325.,93363,58013.,2003.,"Toyota","Corolla"
12041,1,3250.,137359,85351.,2000.,"Toyota","Corolla"
12042,1,3550.,137359,85351.,2000.,"Toyota","Corolla"
12059,1,7601.,112289,69773.,2002.,"Toyota","Corolla"
12188,1,1154.98,262487,163102.,1994.,"Toyota","Corolla"
12190,1,810.,262487,163102.,1994.,"Toyota","Corolla"
12237,1,5000.,46727,29035.,2000.,"Toyota","Corolla"
12523,0,12100.,28534,17730.,2005.,"Toyota","Corolla"
12699,1,5700.,40003,24857.,2002.,"Toyota","Corolla"
12737,1,2850.,205262,127544.,1998.,"Toyota","Corolla"
13099,1,10700.,92354,57386.,2003.,"Toyota","Corolla"
13293,0,3200.,178817,111112.,1999.,"Toyota","Corolla"
13298,0,2550.,33719,20952.,2005.,"Toyota","Corolla"
13302,0,2025.,33719,20952.,2005.,"Toyota","Corolla"
13316,0,4350.,178817,111112.,1999.,"Toyota","Corolla"
13325,0,1825.,33719,20952.,2005.,"Toyota","Corolla"
13332,0,3001.,178817,111112.,1999.,"Toyota","Corolla"
13337,0,2247.,33719,20952.,2005.,"Toyota","Corolla"
13338,0,2850.,33719,20952.,2005.,"Toyota","Corolla"
13341,0,2425.,33719,20952.,2005.,"Toyota","Corolla"
13353,0,3201.,191697,119115.,2000.,"Toyota","Corolla"
13411,1,4501.,240291,149310.,2001.,"Toyota","Corolla"
13743,1,10957.,18668,11600.,2006.,"Toyota","Corolla"
13745,1,8801.,82881,51500.,2003.,"Toyota","Corolla"
13858,1,11000.,12553,7800.,2004.,"Toyota","Corolla"
13864,1,7901.,127782,79400.,2003.,"Toyota","Corolla"
13865,1,9512.17,12553,7800.,2004.,"Toyota","Corolla"
13879,0,8300.,32407,20137.,2001.,"Toyota","Corolla"
13880,0,3550.,154381,95928.,1998.,"Toyota","Corolla"
13921,1,13600.,6920,4300.,2005.,"Toyota","Corolla"
13922,1,12800.,6920,4300.,2005.,"Toyota","Corolla"
14127,1,14450.,12392,7700.,2006.,"Toyota","Corolla"
14128,0,12600.,20117,12500.,2006.,"Toyota","Corolla"
14129,0,12300.,20439,12700.,2006.,"Toyota","Corolla"
14130,0,12400.,34601,21500.,2006.,"Toyota","Corolla"
14132,0,10600.,38261,23774.,2005.,"Toyota","Corolla"
14135,0,13100.,12392,7700.,2006.,"Toyota","Corolla"
14136,1,13650.,41038,25500.,2005.,"Toyota","Corolla"
14139,0,12100.,41038,25500.,2005.,"Toyota","Corolla"
14140,0,8300.,38222,23750.,2005.,"Toyota","Corolla"
14141,0,12000.,8851,5500.,2005.,"Toyota","Corolla"
14142,0,13299.99,13277,8250.,2006.,"Toyota","Corolla"
14146,1,12100.,39429,24500.,2005.,"Toyota","Corolla"
14147,1,14051.,20036,12450.,2006.,"Toyota","Corolla"
14150,0,13900.,21243,13200.,2006.,"Toyota","Corolla"
14151,0,13800.,20439,12700.,2006.,"Toyota","Corolla"
14153,1,13500.,2414,1500.,2006.,"Toyota","Corolla"
14157,0,12500.,30497,18950.,2005.,"Toyota","Corolla"
14158,0,12600.,30497,18950.,2005.,"Toyota","Corolla"
14159,1,14500.,13277,8250.,2006.,"Toyota","Corolla"
