SalesDate,Sales
2013-01-31,128431
2013-02-28,125271
2013-03-31,145169
2013-04-30,118009
2013-05-31,118225
2013-06-30,113411
2013-07-31,128032
2013-08-31,118320
2013-09-30,108867
2013-10-31,114641
2013-11-30,127596
2013-12-31,145168
2014-01-31,118814
2014-02-28,110434
2014-03-31,116467
2014-04-30,115292
2014-05-31,117715
2014-06-30,107905
2014-07-31,122604
2014-08-31,111004
2014-09-30,106398
2014-10-31,114897
2014-11-30,130852
2014-12-31,161026
2015-01-31,119602
2015-02-28,106635
2015-03-31,118917
2015-04-30,110655
2015-05-31,105220
2015-06-30,110011
2015-07-31,121266
