SalesDate,Sales
2013-01-31,186286
2013-02-28,165148
2013-03-31,199545
2013-04-30,179191
2013-05-31,178069
2013-06-30,171162
2013-07-31,211220
2013-08-31,190701
2013-09-30,174334
2013-10-31,174375
2013-11-30,187051
2013-12-31,233305
2014-01-31,188554
2014-02-28,172231
2014-03-31,186788
2014-04-30,181192
2014-05-31,176678
2014-06-30,191621
2014-07-31,200822
2014-08-31,174625
2014-09-30,198391
2014-10-31,181275
2014-11-30,199267
2014-12-31,234108
2015-01-31,191145
2015-02-28,166821
2015-03-31,198662
2015-04-30,181594
2015-05-31,172557
2015-06-30,200699
2015-07-31,201864
